ward_code,ward_name,sale_year,total_sales,avg_price,med_price,total_crimes,avg_crimes_typed,usual_res_16_over,level_4_above,pc_highly_educated,total_estimated_jobs,pc_knowledge_jobs,total_schools
E05010894,Clifton Down,2018,207,438742,360000,117.2,29.3,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2019,224,469641,380000,100.89999999999999,25.224999999999998,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2020,195,555051,425000,163.8,8.621052631578948,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2021,291,534129,386500,160.70000000000002,8.457894736842105,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2022,219,620022,464850,156.1,8.215789473684211,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2023,202,559932,450000,153.8,8.094736842105263,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2024,217,570696,450000,154.1,8.110526315789473,10611,6159,58.04353972292904,7360,52.99,2
E05010895,Cotham,2016,217,397594,305500,100.19999999999999,25.049999999999997,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2017,198,459496,328000,122.7,30.675,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2018,234,461053,335000,106.4,26.6,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2019,168,423679,321000,86.9,21.725,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2020,179,491309,390000,137.3,7.226315789473684,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2021,284,549803,357500,152.5,8.026315789473685,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2022,186,552094,410000,140.6,7.4,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2023,163,506018,400000,141.8,7.463157894736842,10564,6254,59.20106020446801,1895,32.45,3
E05010895,Cotham,2024,189,463007,350000,151.29999999999998,7.963157894736842,10564,6254,59.20106020446801,1895,32.45,3
E05010896,Easton,2016,289,229332,236000,185.9,46.475,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2017,291,248806,260000,176.7,44.175,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2018,271,268991,270000,166.6,41.65,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2019,268,271899,270500,170.6,42.65,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2020,235,270919,270331,313.6,16.50526315789474,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2021,355,324393,320000,313.7,16.510526315789473,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2022,281,348967,355000,300.90000000000003,15.836842105263159,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2023,267,345033,350000,305.8,16.094736842105263,11706,5866,50.11105416025969,2485,15.49,6
E05010896,Easton,2024,264,368583,355000,321.8,16.936842105263157,11706,5866,50.11105416025969,2485,15.49,6
E05010897,Eastville,2016,126,196501,205000,179.6,44.9,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2017,156,225577,220000,183.2,45.8,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2018,124,231373,232000,187.9,46.975,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2019,156,241489,244000,180.5,45.125,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2020,146,263036,257995,325.8,17.147368421052633,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2021,173,273747,275000,325.8,17.147368421052633,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2022,114,308812,290000,344.8,18.147368421052633,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2023,117,308672,305000,340,17.894736842105264,12172,4883,40.11666118961551,2990,12.54,7
E05010897,Eastville,2024,132,283950,275000,402.8,21.2,12172,4883,40.11666118961551,2990,12.54,7
E05010898,Filwood,2016,176,176403,175200,212.4,53.1,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2017,180,236821,190000,218,54.5,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2018,188,221299,206000,218.5,54.625,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2019,196,261582,214000,205.7,51.425,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2020,151,242435,254995,391.4,20.6,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2021,197,276619,245000,390.2,20.53684210526316,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2022,159,331168,280000,325,17.105263157894736,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2023,177,298840,265000,320.4,16.86315789473684,11048,2601,23.5427226647357,3205,18.1,8
E05010898,Filwood,2024,132,278699,275000,360.3,18.963157894736842,11048,2601,23.5427226647357,3205,18.1,8
E05010904,Horfield,2016,166,268921,275000,182.7,45.675,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2017,185,287252,288000,192.7,48.175,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2018,157,300339,310000,152.1,38.025,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2019,152,320659,315000,182.4,45.6,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2020,131,330581,325500,290.6,15.294736842105264,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2021,189,343200,354000,287.2,15.11578947368421,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2022,169,391060,360000,284.9,14.994736842105263,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2023,122,384159,385000,272.1,14.321052631578947,11509,5179,44.99956555738987,13700,3.83,6
E05010904,Horfield,2024,128,386862,400000,303.4,15.968421052631578,11509,5179,44.99956555738987,13700,3.83,6
E05010906,Knowle,2016,182,265141,245000,127.39999999999999,31.849999999999998,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2017,219,266091,250000,126.8,31.7,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2018,166,300243,280000,114.39999999999999,28.599999999999998,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2019,191,315687,277500,120.8,30.2,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2020,153,318078,280000,207.20000000000002,10.905263157894737,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2021,257,352850,345000,218.8,11.51578947368421,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2022,192,369125,325000,200.29999999999998,10.542105263157895,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2023,156,390552,375000,227.6,11.978947368421052,11087,4125,37.20573644809236,2325,15.48,4
E05010906,Knowle,2024,181,389635,355500,223,11.736842105263158,11087,4125,37.20573644809236,2325,15.48,4
E05010907,Lawrence Hill,2016,255,264293,196000,314.7,78.675,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2017,272,238492,226000,348.4,87.1,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2018,265,420468,215000,284.4,71.1,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2019,221,745909,215000,298.5,74.625,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2020,165,813885,251749,492.7,25.931578947368422,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2021,241,686593,260000,541.3,28.489473684210527,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2022,192,498803,271000,535.8,28.2,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2023,231,1090330,270000,574.4,30.231578947368423,15008,5626,37.48667377398721,18775,31.03,11
E05010907,Lawrence Hill,2024,195,890939,257000,590.1,31.057894736842105,15008,5626,37.48667377398721,18775,31.03,11
E05010908,Lockleaze,2016,149,211933,206000,166.4,41.6,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2017,173,243104,235235,172.4,43.1,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2018,151,262405,250000,174.3,43.575,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2019,152,313167,252000,168.4,42.1,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2020,125,266900,255000,284.2,14.957894736842105,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2021,183,334347,289000,308.2,16.22105263157895,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2022,151,416759,320000,315.4,16.6,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2023,161,329720,325000,410.7,21.61578947368421,10694,3866,36.151112773517866,3860,19.04,7
E05010908,Lockleaze,2024,140,331592,320000,397.4,20.91578947368421,10694,3866,36.151112773517866,3860,19.04,7
E05010909,Redland,2016,212,469913,465000,92.10000000000001,23.025000000000002,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2017,216,499045,477750,99.6,24.9,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2018,228,507822,436185,90.8,22.7,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2019,205,539121,510000,79.3,19.825,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2020,160,547406,490000,121.2,6.378947368421052,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2021,293,577286,550000,138.6,7.294736842105263,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2022,233,617709,570000,110.3,5.8052631578947365,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2023,213,607510,542500,116.39999999999999,6.126315789473684,10840,7255,66.9280442804428,3660,43.03,3
E05010909,Redland,2024,208,617093,575000,142.6,7.505263157894737,10840,7255,66.9280442804428,3660,43.03,3
E05010910,St George Central,2016,145,192909,201000,156.1,39.025,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2017,135,216498,220000,144,36,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2018,116,231246,225000,151.2,37.8,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2019,122,222388,233000,137.1,34.275,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2020,99,230449,234000,243.20000000000002,12.8,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2021,145,271905,275000,226.20000000000002,11.905263157894737,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2022,116,351953,302500,211.1,11.110526315789473,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2023,92,294950,310000,219.9,11.573684210526316,10623,3530,33.229784430010355,2745,9.65,2
E05010910,St George Central,2024,122,304296,311000,236.2,12.43157894736842,10623,3530,33.229784430010355,2745,9.65,2
E05010911,St George Troopers Hill,2016,141,212474,214000,70.7,17.675,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2017,111,217865,224000,60.300000000000004,15.075000000000001,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2018,112,237838,243000,58,14.5,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2019,122,236351,240000,71.6,17.9,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2020,106,238322,245000,127.4,6.705263157894737,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2021,134,276385,280000,119,6.2631578947368425,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2022,120,312306,317200,94.9,4.994736842105263,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2023,107,300281,295000,112.4,5.91578947368421,5390,1744,32.35621521335807,6240,21.63,0
E05010911,St George Troopers Hill,2024,90,308659,312500,152.6,8.031578947368422,5390,1744,32.35621521335807,6240,21.63,0
E05010912,St George West,2016,195,209108,209000,166.2,41.55,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2017,214,222131,225000,170.1,42.525,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2018,190,231964,230000,183.6,45.9,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2019,169,293705,240000,165,41.25,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2020,148,249691,246000,316.8,16.673684210526314,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2021,201,264281,260000,297.3,15.647368421052631,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2022,141,318806,310000,329.40000000000003,17.33684210526316,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2023,145,336854,342250,372.5,19.605263157894736,5770,2748,47.62564991334489,2025,26.67,3
E05010912,St George West,2024,143,314069,315000,361,19,5770,2748,47.62564991334489,2025,26.67,3
E05010913,Southmead,2016,14,230821,238000,177.1,44.275,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2017,11,225070,220000,186,46.5,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2018,9,266777,290000,154.8,38.7,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2019,9,243000,227000,144.9,36.225,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2020,12,300708,285000,291.9,15.363157894736842,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2021,12,256558,275000,294.3,15.489473684210527,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2022,17,276845,327000,264.3,13.910526315789474,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2023,11,362090,340000,280,14.736842105263158,10431,3199,30.668200556034897,565,12.39,5
E05010913,Southmead,2024,10,295550,305000,304.7,16.03684210526316,10431,3199,30.668200556034897,565,12.39,5
E05010914,Southville,2016,301,320114,245000,260.5,65.125,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2017,326,330736,275000,282,70.5,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2018,386,295544,258000,252,63,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2019,256,343099,300000,278,69.5,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2020,260,377940,335000,380.3,20.01578947368421,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2021,382,388884,360000,431,22.68421052631579,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2022,302,427780,375000,378.59999999999997,19.926315789473684,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2023,308,450979,349500,420.2,22.11578947368421,11038,6750,61.152382678021375,1810,14.64,5
E05010914,Southville,2024,334,377936,320000,409.5,21.552631578947366,11038,6750,61.152382678021375,1810,14.64,5
